school_name,applications,acceptances,per_pupil_spending,avg_class_size,asian_percent,black_percent,hispanic_percent,multiple_percent,white_percent,rigorous_instruction,collaborative_teachers,supportive_environment,effective_school_leadership,strong_family_community_ties,trust,disability_percent,poverty_percent,ESL_percent,school_size,student_achievement,reading_scores_exceed,math_scores_exceed
P.S. 161 PEDRO ALBIZU CAMPOS,16,1,21096.0,22.83,2.1,20.6,74.1,1.1,2.0,2.6,3.24,2.86,3.52,3.77,3.84,24.8,96.4,26.7,838.0,2.83,0.31,0.29
URBAN ASSEMBLY ACADEMY FOR FUTURE LEADERS,15,1,24503.0,21.5,2.4,55.6,34.9,5.3,1.8,2.69,2.56,2.62,2.32,3.16,2.88,33.1,89.9,6.5,169.0,2.58,0.26,0.15
KAPPA IV,0,0,20260.0,21.89,4.3,59.6,33.3,0.7,2.1,3.66,3.73,3.51,3.61,3.62,3.64,31.2,95.7,16.3,141.0,3.41,0.18,0.15
COLUMBIA SECONDARY SCHOOL,42,23,14678.0,22.13,9.5,23.4,40.9,3.4,22.8,4.35,4.01,3.8,3.65,4.15,3.78,15.0,53.6,0.6,702.0,4.39,0.82,0.81
FREDERICK DOUGLASS ACADEMY,13,0,16735.0,20.29,1.4,69.5,24.5,2.9,1.7,1.93,2.17,2.36,2.0,3.62,3.64,16.1,76.1,4.1,1362.0,2.05,0.28,0.19
NEW DESIGN MIDDLE SCHOOL,11,0,24330.0,16.26,0.0,55.4,41.5,0.8,2.3,3.66,3.73,2.15,3.61,3.62,3.64,39.2,91.5,6.2,130.0,2.79,0.24,0.15
THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,10,0,18888.0,18.33,1.8,69.7,25.8,1.5,1.3,3.28,4.36,4.18,3.7,3.51,3.61,19.2,73.7,3.5,547.0,1.82,0.48,0.37
P.S. 018 PARK TERRACE,6,0,21437.0,22.74,0.3,2.0,96.9,0.0,0.8,3.78,4.38,3.75,4.13,3.81,4.35,21.0,92.6,32.9,353.0,2.48,0.32,0.3
J.H.S. 052 INWOOD,13,0,22924.0,22.21,0.0,3.4,94.8,1.1,0.7,3.5,3.4,2.87,2.91,4.1,3.65,21.3,97.4,42.7,267.0,3.7,0.24,0.17
J.H.S. 143 ELEANOR ROOSEVELT,17,1,24818.0,21.24,0.0,2.3,91.7,0.8,5.3,2.86,3.77,2.61,3.13,3.27,3.91,27.9,88.7,58.9,265.0,3.25,0.17,0.15
P.S./I.S. 187 HUDSON CLIFFS,36,2,17120.0,31.12,4.3,3.4,51.8,4.1,36.4,3.95,3.63,3.84,3.93,4.36,3.9,17.5,42.1,4.8,799.0,3.5,0.64,0.6
HAMILTON GRANGE MIDDLE SCHOOL,18,1,20147.0,22.05,1.1,12.4,83.1,1.5,1.9,3.74,3.45,3.65,3.91,4.2,3.61,22.1,92.9,23.2,267.0,3.66,0.34,0.24
P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP,8,2,21254.0,25.3,0.5,2.4,96.9,0.2,0.0,3.8,3.63,3.75,3.69,3.85,3.79,22.0,91.6,35.8,419.0,3.8,0.46,0.51
I.S. 218 SALOME URENA,0,0,26887.0,19.32,0.6,4.0,94.3,0.6,0.6,3.66,3.73,3.51,3.61,3.62,3.64,22.9,93.7,41.7,175.0,3.41,0.25,0.15
THE MOTT HALL SCHOOL,81,2,20477.0,21.77,2.4,9.2,82.2,1.4,4.8,3.0,3.64,3.79,3.7,3.83,4.07,14.0,80.1,2.7,292.0,4.43,0.67,0.64
PAULA HEDBAVNY SCHOOL,24,9,18641.0,29.56,2.1,2.0,78.9,1.1,15.9,4.14,3.94,4.12,4.46,4.36,4.53,19.5,66.7,15.2,559.0,4.06,0.56,0.48
CITY COLLEGE ACADEMY OF THE ARTS,13,0,18560.0,28.24,1.5,3.5,91.4,0.7,3.0,3.24,3.33,3.27,3.12,3.4,3.31,14.6,82.6,5.5,602.0,3.64,0.53,0.45
AMISTAD DUAL LANGUAGE SCHOOL,12,0,19824.0,22.74,1.5,1.5,91.9,0.8,4.3,3.82,3.66,3.9,3.99,3.94,4.18,13.2,81.0,25.3,395.0,4.09,0.44,0.4
M.S. 319 - MARIA TERESA,27,2,21258.0,21.23,0.2,4.3,94.3,0.0,1.2,4.59,4.18,4.19,3.64,4.48,3.86,23.2,97.8,37.3,418.0,3.53,0.32,0.26
MIDDLE SCHOOL 322,22,1,21632.0,21.11,0.6,3.2,94.5,0.0,1.6,4.53,4.17,3.12,4.19,4.3,3.87,20.6,92.6,39.0,310.0,3.66,0.29,0.23
M.S. 324 - PATRIA MIRABAL,20,1,22577.0,22.5,0.5,12.0,84.2,0.5,2.8,4.79,4.41,4.04,3.83,3.62,3.86,27.1,90.5,34.3,399.0,3.84,0.31,0.22
COMMUNITY MATH & SCIENCE PREP,9,0,24851.0,16.22,3.9,12.7,82.5,0.4,0.4,2.35,3.21,2.88,3.42,4.37,3.83,35.8,99.1,50.7,229.0,2.85,0.15,0.15
COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,16,1,18856.0,16.67,0.9,6.5,90.8,0.3,1.6,3.72,4.64,4.05,4.42,4.24,4.39,18.9,93.0,17.4,703.0,4.11,0.36,0.29
WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,6,0,19546.0,26.0,0.9,3.4,91.7,0.6,3.4,4.75,4.34,4.06,4.3,3.66,4.33,20.6,76.3,15.5,815.0,3.21,0.36,0.27
HARBOR HEIGHTS,0,0,22135.0,23.0,0.0,0.0,100.0,0.0,0.0,3.77,3.34,4.32,3.69,4.15,4.21,0.0,98.4,85.3,129.0,3.45,0.15,0.15
WASHINGTON HEIGHTS ACADEMY,15,1,17838.0,28.33,1.9,1.8,93.9,0.7,1.8,3.9,3.86,3.79,3.59,4.17,3.62,15.6,89.5,12.8,571.0,4.49,0.59,0.57
I.S. 528 BEA FULLER RODGERS SCHOOL,0,0,20975.0,22.6,0.4,1.3,98.2,0.0,0.0,3.91,3.68,4.52,3.95,4.45,3.58,17.4,96.0,24.6,224.0,3.62,0.36,0.21
P.S. 5 PORT MORRIS,8,0,20312.0,22.25,0.4,27.4,68.4,0.8,2.9,4.12,3.27,2.5,3.36,2.74,3.02,22.3,95.4,23.3,722.0,2.29,0.26,0.23
P.S./M.S. 029 MELROSE SCHOOL,10,0,21645.0,22.71,1.5,29.9,66.0,1.4,1.1,4.06,3.74,3.38,2.78,3.13,3.34,20.2,92.4,12.8,792.0,2.19,0.26,0.22
P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,9,0,19918.0,25.32,2.8,27.4,66.4,0.8,2.5,2.16,2.75,2.94,3.13,2.74,3.47,24.6,91.2,14.0,708.0,2.97,0.27,0.24
J.H.S. 151 LOU GEHRIG,0,0,24328.0,17.97,0.0,26.8,70.5,0.4,2.3,3.59,3.78,3.01,3.6,4.07,3.94,24.5,99.2,33.7,261.0,2.05,0.21,0.15
SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,8,0,19410.0,26.83,1.5,25.0,71.0,0.6,1.8,4.44,4.58,4.61,4.2,3.18,4.18,26.7,96.4,7.3,659.0,4.06,0.35,0.28
THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X223,18,1,19074.0,25.06,0.6,17.8,80.6,0.3,0.7,4.52,3.84,4.13,2.72,3.36,3.28,21.3,97.4,8.9,684.0,4.34,0.48,0.41
P.S./I.S. 224,0,0,21783.0,19.24,0.3,26.3,71.8,0.3,1.4,2.64,1.92,2.27,2.82,3.36,2.37,27.1,98.0,22.1,358.0,2.18,0.22,0.16
SOUTH BRONX ACADEMY FOR APPLIED MEDIA,6,0,22138.0,19.84,1.2,32.8,64.0,1.2,0.8,2.73,3.36,2.59,3.41,2.79,3.07,31.6,93.3,10.3,253.0,3.18,0.24,0.15
ACADEMY OF PUBLIC RELATIONS,9,0,20363.0,18.15,0.4,20.6,76.5,0.8,1.6,3.12,2.47,3.09,2.82,3.47,3.04,27.1,91.1,27.9,247.0,2.61,0.27,0.17
ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,31,2,22281.0,22.77,0.7,28.3,69.0,0.7,1.3,4.09,4.41,3.76,4.15,3.61,4.14,25.0,94.3,11.7,300.0,4.3,0.35,0.25
HOSTOS-LINCOLN ACADEMY OF SCIENCE,0,0,17909.0,19.18,2.2,22.0,73.6,0.8,1.4,3.21,3.84,3.88,3.76,3.89,4.09,21.9,85.4,4.3,508.0,3.32,0.43,0.35
THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,0,0,18612.0,12.17,0.3,33.2,62.9,0.7,2.9,4.48,3.52,3.23,3.89,3.62,3.64,30.7,89.8,14.1,590.0,3.26,0.25,0.17
